target,familia,horizonte,n,mae,rmse,skill
trafico,baseline,1,181544,0.09557358170724627,0.2181788661833369,0.0
trafico,lightgbm,1,181544,0.07591726702530281,0.1775176378167628,0.3380005030800488
trafico,baseline,3,163108,0.13924760689373708,0.30062066502273704,0.0
trafico,lightgbm,3,163108,0.08811362706693066,0.1948395673308303,0.5799348518754244
trafico,baseline,6,135543,0.19250826447103644,0.3876015279641013,0.0
trafico,lightgbm,6,135543,0.09193191331456048,0.19539559916838883,0.745868444212529
