target,familia,horizonte,n,mae,rmse,skill
calidad_aire,baseline,1,7611,2.7430166863749834,5.902289061103317,0.0
calidad_aire,lightgbm,1,7611,2.4570537832647177,4.963268759703494,0.2928775338470633
calidad_aire,stgnn,1,3359,4.934316942825953,7.374194589839055,-0.5059762872976203
calidad_aire,baseline,3,7089,5.307166031880378,11.427733093257231,0.0
calidad_aire,lightgbm,3,7089,3.8798216012875133,7.404245778985083,0.5802009262432065
calidad_aire,stgnn,3,3255,5.138350792526741,8.62570943746793,0.4758869376216508
calidad_aire,baseline,6,6358,7.243771626297577,14.580828344303338,0.0
calidad_aire,lightgbm,6,6358,4.568930306614488,8.308243782432509,0.6753210983789213
calidad_aire,stgnn,6,3088,6.3517284477298475,11.242560912318153,0.5528914977909398
trafico,baseline,1,321624,0.09649253534434678,0.2196842412381694,0.0
trafico,lightgbm,1,321624,0.07466235667678521,0.17465464892742977,0.3679339100967608
trafico,baseline,3,311579,0.1381891642072046,0.30094337405115357,0.0
trafico,lightgbm,3,311579,0.08120859182567558,0.18753286348460146,0.6116840777293244
trafico,baseline,6,297124,0.19019017837145957,0.38853984315372986,0.0
trafico,lightgbm,6,297124,0.08118831488547444,0.18906129792095394,0.7632259247909225
