h,modelo,n,mae,rmse,mape,skill_vs_ref
1,stgnn,87600,134.6781415223422,227.55632513288066,155.64638567973057,0.3715842669028756
1,persistencia,87600,166.56514815831292,287.055179064461,116.15857385041899,0.0
3,stgnn,87600,160.24485525261866,240.2327180660022,342.6489792242206,0.6989214515816837
3,persistencia,87600,288.658755108559,437.8166244942767,330.2481228758774,0.0
6,stgnn,87600,121.32173124339482,181.4849561192787,506.21766496474453,0.8462114353143347
6,persistencia,87600,332.44942856009146,462.78429136138845,559.204101969413,0.0
