nodo,parada,modo,grado,intermediacion,cercania,pagerank
crtm_red_transporte_madrid:2091,Martínez De La Riva,emt,3,0.0526,0.0552,0.000358
crtm_red_transporte_madrid:1736,Monforte De Lemos - Parque Bomberos,emt,3,0.05257,0.0484,0.000367
crtm_red_transporte_madrid:4651,Monforte De Lemos - Polideportivo,emt,3,0.05255,0.052,0.000359
crtm_red_transporte_madrid:3278,Vicente Aleixandre,emt,4,0.05235,0.0569,0.000488
crtm_red_transporte_madrid:1410,Ciudad De Barcelona - Seco,emt,6,0.05188,0.0634,0.000669
crtm_red_transporte_madrid:1734,Monforte De Lemos - Puentecesures,emt,2,0.05182,0.05,0.000254
crtm_red_transporte_madrid:5998,Avenida De Canillejas - Néctar,emt,5,0.05133,0.0609,0.000544
crtm_red_transporte_madrid:2605,El Bosco - Maruja García Romero,emt,3,0.05108,0.063,0.000329
crtm_red_transporte_madrid:2178,Atocha,emt,2,0.05081,0.0656,0.000246
crtm_red_transporte_madrid:3859,Metro La Peseta,emt,4,0.05039,0.0567,0.000498
crtm_red_transporte_madrid:5618,O Donnell - Narváez,emt,2,0.04957,0.0679,0.000226
crtm_red_transporte_madrid:1568,Alvarado,emt,7,0.04882,0.0589,0.000863
crtm_red_transporte_madrid:1416,Guzmán El Bueno,emt,6,0.04878,0.0581,0.000677
crtm_red_transporte_madrid:735,Argüelles,emt,5,0.04755,0.0546,0.000521
crtm_red_transporte_madrid:2394,Ibáñez Ibero,emt,3,0.04721,0.0548,0.00034
crtm_red_transporte_madrid:803,Cristo Rey - San Francisco De Sales,emt,5,0.04715,0.0511,0.000572
crtm_red_transporte_madrid:2392,Guzmán El Bueno - San Francisco De Sales,emt,3,0.04674,0.0526,0.000345
crtm_red_transporte_madrid:3425,Club De Campo,emt,4,0.04651,0.0435,0.000497
crtm_red_transporte_madrid:879,Alto De Extremadura,emt,4,0.04613,0.0516,0.000425
crtm_red_transporte_madrid:1688,Ciudad Universitaria,emt,2,0.04539,0.0557,0.000258
crtm_red_transporte_madrid:740,Moncloa,emt,2,0.04522,0.0549,0.000247
crtm_red_transporte_madrid:4021,Isaac Peral - Fernández De Los Ríos,emt,4,0.04482,0.0503,0.000463
crtm_red_transporte_madrid:5927,Niceto Alcalá Zamora - Ana De Austria,emt,4,0.04468,0.0565,0.000493
crtm_red_transporte_madrid:4094,Gran Vía - Montera,emt,4,0.04343,0.06,0.000479
crtm_red_transporte_madrid:2184,Martínez De La Riva - Sierra Carbonera,emt,4,0.0433,0.0527,0.000467
