h,modelo,n,mae,rmse,mape,skill_vs_ref
1,lightgbm,7611,2.4570537832647177,4.963268759703494,30.453764441701686,0.2928775338470633
1,baseline (persistencia),7611,2.7430166863749834,5.902289061103317,28.657371679708504,0.0
3,lightgbm,7089,3.8798216012875133,7.404245778985083,62.72898152798544,0.5802009262432065
3,baseline (persistencia),7089,5.307166031880378,11.427733093257231,63.13634623488679,0.0
6,lightgbm,6358,4.568930306614488,8.308243782432509,93.64212804532232,0.6753210983789213
6,baseline (seasonal_naive),6358,7.243771626297577,14.580828344303338,102.75535728889828,0.0
